S.No.,Location,Cr (PPM),Mn (PPM),Fe (PPM),Ni (PPM),Cu (PPM),Zn (PPM),As (PPM),Se (PPB),Ag (PPB),Cd (PPB),Pb (PPB),U (PPB),Year
1,Asola,BDL,0.002,0.049,BDL,BDL,0.014,0.082,0.207,BDL,0.096,BDL,1.687,2021
2,AuchandiPz,BDL,0.055,0.08,BDL,BDL,0.17,0.51,0.03,0.212,0.06,0.316,25.928,2021
3,Bakoli,BDL,0.117,0.007,BDL,BDL,0.024,0.07,BDL,BDL,0.012,BDL,11.262,2021
4,Balbir Nagar,BDL,0.096,0.012,BDL,BDL,0.052,0.111,0.007,BDL,0.185,BDL,0.053,2021
5,Bankner,BDL,0.052,0.038,BDL,0.001,0.725,0.369,0.133,0.442,0.047,3.048,18.458,2021
6,Bapraula,BDL,0.001,0.002,BDL,BDL,0.052,0.781,0.031,BDL,0.164,BDL,1.556,2021
7,Barwala,BDL,0.703,0.587,0.001,BDL,0.167,0.054,0.009,0.087,0.005,BDL,0.877,2021
8,Bawana IE Store,0.002,0.003,BDL,BDL,BDL,0.082,0.547,0.083,0.252,0.019,0.084,19.942,2021
9,Bhalaswa Lake,BDL,0.252,3.392,BDL,BDL,1.575,0.134,0.085,BDL,0.035,BDL,4.543,2021
10,Bhatti,BDL,0.003,0.011,BDL,BDL,0.037,0.088,0.035,BDL,0.095,BDL,0.586,2021
11,Burari,BDL,1.424,0.359,0.001,BDL,0.152,0.249,0.017,BDL,0.108,BDL,9.311,2021
12,Burari DJB Ex. Engg. Office,BDL,0.533,2.36,BDL,BDL,0.073,7.109,0.004,BDL,0.034,0.069,5.386,2021
13,CBD Shahdara,BDL,0.068,0.01,BDL,BDL,0.533,0.282,BDL,BDL,0.088,BDL,12.294,2021
14,Chandni Chowk,BDL,0.003,0.015,0.004,BDL,0.015,0.431,0.094,BDL,0.107,0.36,2.367,2021
15,Chilla Regulator,BDL,0.062,0.01,BDL,BDL,0.28,0.345,0.002,BDL,0.103,0.02,8.804,2021
16,Daulatpur,BDL,0.002,0.009,BDL,0.001,0.051,1.109,0.015,BDL,0.169,BDL,2.113,2021
17,Dwarka Sec 23 DDA Park,BDL,0.009,0.007,BDL,BDL,0.081,0.467,0.002,BDL,0.156,BDL,13.639,2021
18,Dwarka Sec 5 DDA Park,BDL,0.003,0.006,BDL,BDL,0.047,1.251,0.048,BDL,0.155,BDL,2.517,2021
19,Gadaipur,BDL,0.002,BDL,BDL,BDL,0.027,0.184,0.155,BDL,0.06,BDL,2.453,2021
20,Gazipur Crossing,BDL,0.074,0.016,BDL,BDL,0.29,0.387,0.012,BDL,0.081,0.227,7.209,2021
21,GK 2,BDL,0.002,0.029,BDL,BDL,0.042,0.147,0.021,BDL,0.083,BDL,1.285,2021
22,Haiderpur,BDL,0.005,0.015,BDL,BDL,0.007,0.616,0.043,0.815,0.016,BDL,7.67,2021
23,Hareoli,0.002,0.003,0.083,BDL,BDL,0.832,0.391,0.04,1.005,0.097,4.086,22.605,2021
24,Hirankudna,BDL,0.154,0.073,0.003,BDL,1.299,0.388,0.01,0.408,0.02,4.624,11.954,2021
25,Hiranki Village,BDL,0.002,0.016,BDL,0.001,0.036,0.382,0.013,BDL,0.033,BDL,9.879,2021
26,India Gate Pz,BDL,0.107,0.016,BDL,BDL,0.167,0.205,0.135,BDL,0.129,0.142,14.269,2021
27,JNU,0.002,0.001,BDL,BDL,BDL,0.237,0.312,BDL,BDL,0.048,BDL,10.622,2021
28,Jagatpur,BDL,2.293,0.217,BDL,BDL,0.073,0.437,0.145,BDL,0.053,BDL,6.366,2021
29,Jaitpur Khadar,BDL,BDL,0.002,BDL,BDL,BDL,1.688,0.008,BDL,BDL,BDL,6.364,2021
30,Jamali Kamali,0.004,0.028,0.025,BDL,BDL,0.018,0.641,0.475,BDL,0.067,BDL,12.991,2021
31,Janakpuri,BDL,0.004,0.01,0.007,BDL,0.028,0.528,0.023,BDL,0.144,BDL,14.906,2021
32,Jaunapur,BDL,0.002,0.018,BDL,BDL,0.049,1.49,0.035,BDL,0.127,BDL,1.135,2021
33,Jaunti,BDL,0.002,0.019,BDL,BDL,0.62,4.401,0.124,0.39,0.163,2.005,39.81,2021
34,Jheel Khoh,0.001,BDL,BDL,BDL,BDL,0.195,0.127,BDL,BDL,0.127,BDL,12.1,2021
35,Jhuljhuli,0.006,0.003,0.021,BDL,0.003,0.039,5.172,0.243,BDL,0.152,BDL,6.314,2021
36,Kanjhawala,BDL,0.03,0.622,BDL,BDL,0.035,0.259,0.154,0.079,0.315,BDL,34.902,2021
37,Khela Ghat Bhela Road,0.004,0.001,0.016,BDL,0.003,0.009,3.731,0.21,BDL,0.06,BDL,6.447,2021
38,Khera Kalan,BDL,0.01,0.011,BDL,0.002,0.042,1.816,0.041,BDL,0.471,BDL,19.238,2021
39,Kingsway Camp Police Ground,BDL,0.113,0.48,BDL,0.068,0.042,1.758,0.054,2.322,0.013,2.604,2.624,2021
